time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,max_memory,file,threads,gcthreads,version
11978999021,3373783074,1830305009,1542616904,267317447,0,33,23214792,issue-52937.jl,16,2,1.12.0-DEV.153
12324085474,3737348708,2185654176,1550813692,247553123,0,40,73834052,issue-52937.jl,16,2,1.12.0-DEV.153
12336258438,3700654071,2160851574,1538902576,252208349,0,39,75029692,issue-52937.jl,16,2,1.12.0-DEV.153
12359724937,3737817783,2180691871,1556267271,260527814,0,39,73804508,issue-52937.jl,16,2,1.12.0-DEV.153
12318628463,3707704957,2157310124,1549551830,285895941,0,39,75479588,issue-52937.jl,16,2,1.12.0-DEV.153
12268800325,3662801894,2127398070,1534539984,261624500,0,38,72204572,issue-52937.jl,16,2,1.12.0-DEV.153
12271571725,3601264121,2117216835,1483186966,286022172,0,38,73117492,issue-52937.jl,16,2,1.12.0-DEV.153
12434436766,3723259395,2131562999,1590833114,268666786,0,38,71798700,issue-52937.jl,16,2,1.12.0-DEV.153
12279564756,3658139075,2119350083,1537887350,234488190,0,38,74148116,issue-52937.jl,16,2,1.12.0-DEV.153
12362369265,3748903061,2166131414,1581878567,267983003,0,39,71732060,issue-52937.jl,16,2,1.12.0-DEV.153
32109955988,24409014824,18776263146,5632683558,287770716,0,4,11552897232,objarray.jl,16,2,1.12.0-DEV.153
32237321644,24480768311,18867104993,5613602158,394500582,0,4,11354900464,objarray.jl,16,2,1.12.0-DEV.153
30484455104,22322215032,17221854845,5100309387,294928342,0,4,11201901744,objarray.jl,16,2,1.12.0-DEV.153
32219717091,23904545786,18634257582,5270228844,274558183,0,3,11747356680,objarray.jl,16,2,1.12.0-DEV.153
30202860149,21905012619,16001315120,5903639339,304041531,0,4,12199480400,objarray.jl,16,2,1.12.0-DEV.153
29584558715,21644312633,15784010096,5860233497,312433274,0,4,11521125176,objarray.jl,16,2,1.12.0-DEV.153
28723167612,21021813414,16106113461,4915642673,272251992,0,3,10380923072,objarray.jl,16,2,1.12.0-DEV.153
30291792787,22315932573,17084696861,5231189712,204838568,0,4,10541699832,objarray.jl,16,2,1.12.0-DEV.153
30949954939,22960878433,17731265538,5229557975,171482057,0,4,11493681056,objarray.jl,16,2,1.12.0-DEV.153
31612347177,23760757844,17863448046,5897248317,334296778,0,4,10787341344,objarray.jl,16,2,1.12.0-DEV.153
5966218074,4106911859,2698086959,1408654620,3190210,0,14,344055216,tree_immutable.jl,16,2,1.12.0-DEV.153
6330673747,4378787313,2918107699,1460481374,58523893,0,16,328944564,tree_immutable.jl,16,2,1.12.0-DEV.153
6064595893,4361726970,2945401011,1416136959,2341566,0,14,358383052,tree_immutable.jl,16,2,1.12.0-DEV.153
5626433494,3648472148,2315887571,1332432337,36103883,0,12,294317852,tree_immutable.jl,16,2,1.12.0-DEV.153
