time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,file,threads,gcthreads,version
12689101742,4820751524,3358044751,1461106847,317077942,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12392025205,4699045158,3336143835,1361499219,260177286,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12607601068,4806387812,3445873006,1359044165,363728355,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12728811701,4903163050,3528963815,1372703511,274143517,0,36,issue-52937.jl,16,1,1.12.0-DEV.153
12401847774,4733301277,3347890538,1383919218,283407553,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12542507106,4748450113,3431844764,1315180688,266824950,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12542525029,4804420344,3376043980,1426925927,273417557,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12624187173,4873603578,3457225096,1414884322,408642931,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12749956152,4851224455,3457866096,1391857164,268521095,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12415453735,4729728796,3353492870,1374785264,270112568,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12708515731,4822996785,3460308417,1361264651,287744549,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12717103523,4863204049,3466161299,1395547926,304523574,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12619892309,4800957072,3464845688,1334566113,284981780,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12609336788,4862451853,3456421838,1404561131,274716202,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12553862922,4836924392,3364617768,1470847731,295244088,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12698240344,4865632644,3538264790,1325852885,285839421,0,36,issue-52937.jl,16,1,1.12.0-DEV.153
12386114019,4763004462,3353647110,1407879014,294822253,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12562771312,4797519174,3355155148,1440798733,310970666,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12454903628,4718431420,3336078338,1380925991,282142104,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12313651926,4743781103,3506511334,1235820577,243219365,0,36,issue-52937.jl,16,1,1.12.0-DEV.153
12427516135,4734142938,3350470077,1382216962,266163608,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12604717547,4838020112,3450684825,1385806403,281948681,0,35,issue-52937.jl,16,1,1.12.0-DEV.153
12456409944,4762618166,3344086727,1417103834,270458595,0,34,issue-52937.jl,16,1,1.12.0-DEV.153
12751400950,4861020003,3537450867,1322096925,266414180,0,36,issue-52937.jl,16,1,1.12.0-DEV.153
12546286871,4826351463,3525436383,1299414018,256219187,0,36,issue-52937.jl,16,1,1.12.0-DEV.153
11150976184,3303732035,1926227360,1375792747,304654346,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
10893075048,3228810270,1876611824,1350546766,302751784,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
10944003891,3241454760,1920606033,1319255598,288752734,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
10974403184,3182795609,1884530453,1296711349,287896940,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11100803881,3330337091,1939092263,1389352959,336883585,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
11078289717,3276505040,1892187178,1382624959,316251002,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11190409727,3316498929,1931597567,1383235906,305979055,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
11047146653,3308966704,1892812169,1414468825,305639180,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
10927061051,3216316618,1869192911,1345443870,287419241,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11060029371,3282068467,1869097456,1411254113,298556286,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11105330791,3318902632,1979992046,1337127211,311176924,0,38,issue-52937.jl,16,2,1.12.0-DEV.153
11044918279,3236416289,1893934130,1340884014,294384533,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11004944487,3235622526,1883835360,1350183749,331330620,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11247753197,3290520492,1912090843,1376769831,306959895,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
11011351072,3292959869,1900247022,1391144949,465789169,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11152779778,3282656253,1920550569,1360497194,289713637,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
10845769744,3204831335,1905141654,1298122537,298525234,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
11147876175,3292704127,1920517318,1370611742,388633406,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
10959587927,3235966076,1902914407,1331408432,293670944,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
10950045922,3273424540,1935265053,1336467972,303435941,0,38,issue-52937.jl,16,2,1.12.0-DEV.153
11050460422,3281850727,1948705028,1331440782,277877588,0,37,issue-52937.jl,16,2,1.12.0-DEV.153
10797960027,3173869592,1889233869,1283089509,277951630,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11047462482,3242291541,1879237712,1361446707,388570526,0,36,issue-52937.jl,16,2,1.12.0-DEV.153
11025433924,3286341320,1971652664,1313085860,293627715,0,38,issue-52937.jl,16,2,1.12.0-DEV.153
10918957536,3249669668,1947139717,1300862945,274462155,0,38,issue-52937.jl,16,2,1.12.0-DEV.153
10250597382,2443703403,1152382001,1289545212,360901063,0,35,issue-52937.jl,16,4,1.12.0-DEV.153
10209445511,2407849683,1185577268,1220325103,358343048,0,35,issue-52937.jl,16,4,1.12.0-DEV.153
10329151842,2565751596,1316850947,1247073654,303048743,0,40,issue-52937.jl,16,4,1.12.0-DEV.153
10284552721,2487887019,1227527748,1258508964,413808379,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10276121630,2589930446,1199875145,1388226924,375466393,0,36,issue-52937.jl,16,4,1.12.0-DEV.153
10427128408,2586653515,1278258717,1306756851,336255290,0,39,issue-52937.jl,16,4,1.12.0-DEV.153
10454395928,2567176226,1215877468,1349600325,324633461,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10269587238,2468260381,1234354791,1232195131,344396848,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10352505901,2562440942,1306665710,1253990154,282597942,0,40,issue-52937.jl,16,4,1.12.0-DEV.153
10238673548,2452385958,1188537914,1262174968,332133839,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10395050443,2592527647,1233159454,1357703435,307065860,0,36,issue-52937.jl,16,4,1.12.0-DEV.153
10381516355,2608529234,1250945162,1355851357,314635753,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10273252930,2557952124,1236030685,1320236845,303651021,0,38,issue-52937.jl,16,4,1.12.0-DEV.153
10473350382,2605544022,1261364623,1342441914,327861255,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10193024480,2490421914,1206912348,1281813295,311676642,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10404353717,2538598189,1235726471,1301136536,300862582,0,38,issue-52937.jl,16,4,1.12.0-DEV.153
10228427841,2474760619,1180472246,1292600267,342112274,0,36,issue-52937.jl,16,4,1.12.0-DEV.153
10249171154,2491834348,1259964047,1230185757,302908604,0,38,issue-52937.jl,16,4,1.12.0-DEV.153
10340660906,2586164317,1222877779,1361520328,308003006,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10214134840,2534816004,1224325344,1308848071,303232979,0,38,issue-52937.jl,16,4,1.12.0-DEV.153
10464569902,2546469176,1206507344,1338194028,306961326,0,36,issue-52937.jl,16,4,1.12.0-DEV.153
10395737921,2526387966,1220473690,1304236915,323483634,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10421017860,2556406510,1244504509,1310003916,330728308,0,39,issue-52937.jl,16,4,1.12.0-DEV.153
10266315327,2595309927,1238600422,1354967503,345972574,0,37,issue-52937.jl,16,4,1.12.0-DEV.153
10210635138,2515982732,1270675182,1243535336,320788430,0,39,issue-52937.jl,16,4,1.12.0-DEV.153
9734428691,2041063782,764063027,1275286352,314011990,0,29,issue-52937.jl,16,8,1.12.0-DEV.153
9790865537,2028105073,838831707,1187470704,288958314,0,33,issue-52937.jl,16,8,1.12.0-DEV.153
9962182002,2060116082,823585230,1234766721,320443456,0,32,issue-52937.jl,16,8,1.12.0-DEV.153
9733441163,2066473187,780331990,1284453113,326395159,0,30,issue-52937.jl,16,8,1.12.0-DEV.153
9742350589,2054945918,865469261,1187707865,309561950,0,34,issue-52937.jl,16,8,1.12.0-DEV.153
9917211444,2092570136,867716052,1222953422,420053717,0,34,issue-52937.jl,16,8,1.12.0-DEV.153
9914479102,2050751742,819243619,1229665931,296131284,0,32,issue-52937.jl,16,8,1.12.0-DEV.153
9940962012,2041419293,803872621,1235768743,315910272,0,31,issue-52937.jl,16,8,1.12.0-DEV.153
9734560625,2042233784,878662514,1161771092,290224667,0,33,issue-52937.jl,16,8,1.12.0-DEV.153
9849367112,2091415171,769916239,1319708690,430831283,0,29,issue-52937.jl,16,8,1.12.0-DEV.153
9687494948,2040465295,879462165,1159220332,295863613,0,35,issue-52937.jl,16,8,1.12.0-DEV.153
9793354316,2083374103,837874796,1243712984,310956162,0,32,issue-52937.jl,16,8,1.12.0-DEV.153
9832930889,2046456804,770132445,1274595097,327862456,0,29,issue-52937.jl,16,8,1.12.0-DEV.153
9761328244,2034580062,844761130,1188032792,314642988,0,33,issue-52937.jl,16,8,1.12.0-DEV.153
9753868935,2051881335,846632683,1203449226,313142942,0,33,issue-52937.jl,16,8,1.12.0-DEV.153
9861445665,1967588044,736773337,1229040611,397440372,0,28,issue-52937.jl,16,8,1.12.0-DEV.153
9957548031,2054126256,779158965,1273267936,301274823,0,30,issue-52937.jl,16,8,1.12.0-DEV.153
9817284664,2063339050,807117311,1254402265,302066750,0,32,issue-52937.jl,16,8,1.12.0-DEV.153
9799508070,2058925547,898764300,1158329725,294060988,0,36,issue-52937.jl,16,8,1.12.0-DEV.153
9758083085,1907962486,764621445,1141548450,314361336,0,29,issue-52937.jl,16,8,1.12.0-DEV.153
9868532145,2087739033,807057241,1278998287,338540371,0,31,issue-52937.jl,16,8,1.12.0-DEV.153
9634822320,1942329875,791624155,1148859632,329046774,0,30,issue-52937.jl,16,8,1.12.0-DEV.153
9831159584,1891762566,754495310,1135570124,363262583,0,29,issue-52937.jl,16,8,1.12.0-DEV.153
9589963204,1870425225,715905723,1152696014,337545717,0,26,issue-52937.jl,16,8,1.12.0-DEV.153
9783307308,2052155980,787086786,1263293808,294674490,0,31,issue-52937.jl,16,8,1.12.0-DEV.153
9530804478,1538446653,550248239,986593107,263999875,0,20,issue-52937.jl,16,16,1.12.0-DEV.153
9310678554,1495937069,424284357,1070226121,273410536,0,14,issue-52937.jl,16,16,1.12.0-DEV.153
9323206685,1546411282,474638045,1070304779,281316683,0,16,issue-52937.jl,16,16,1.12.0-DEV.153
9188439521,1487236949,465142543,1020626359,259523949,0,16,issue-52937.jl,16,16,1.12.0-DEV.153
9414175983,1518233919,528479379,988204458,262934126,0,19,issue-52937.jl,16,16,1.12.0-DEV.153
9538105116,1579931139,436965190,1141465294,324700763,0,14,issue-52937.jl,16,16,1.12.0-DEV.153
9378761548,1499773937,453483879,1044766500,259302593,0,15,issue-52937.jl,16,16,1.12.0-DEV.153
9067930272,1433121975,486391143,945234737,269399162,0,17,issue-52937.jl,16,16,1.12.0-DEV.153
9293664396,1519336994,445850820,1071977343,255918158,0,15,issue-52937.jl,16,16,1.12.0-DEV.153
9269088211,1486889219,488680159,996545376,265321031,0,17,issue-52937.jl,16,16,1.12.0-DEV.153
9201372981,1518596564,455276061,1061846173,263195547,0,16,issue-52937.jl,16,16,1.12.0-DEV.153
9123006337,1488591888,480317885,1006793469,265961004,0,16,issue-52937.jl,16,16,1.12.0-DEV.153
9299811106,1512635453,469396985,1041734171,274003010,0,16,issue-52937.jl,16,16,1.12.0-DEV.153
9133806014,1467233721,410974604,1054858072,343274383,0,13,issue-52937.jl,16,16,1.12.0-DEV.153
