time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,max_memory,file,threads,gcthreads,version
81632747361,9031649981,837229830,8188664268,172759061,0,1,14148640,pidigits.jl,1,2,1.12.0-DEV.153
81249872873,9171108952,818455218,8348333297,165610514,0,1,15832488,pidigits.jl,1,2,1.12.0-DEV.153
81731257519,8772035688,841210695,7925372332,169093094,0,1,14485264,pidigits.jl,1,2,1.12.0-DEV.153
82020112430,8899330598,824972670,8070156678,174114931,0,1,14438872,pidigits.jl,1,2,1.12.0-DEV.153
81491316572,8880240683,814686777,8059914581,173497814,0,1,14132512,pidigits.jl,1,2,1.12.0-DEV.153
81412756341,8930513956,835873669,8089999528,176678849,0,1,14213256,pidigits.jl,1,2,1.12.0-DEV.153
81095343589,8785003906,810308508,7969925069,168038539,0,1,14311976,pidigits.jl,1,2,1.12.0-DEV.153
82013628693,9016449240,834923693,8175289593,169003551,0,1,13720840,pidigits.jl,1,2,1.12.0-DEV.153
81321163923,8848437510,812168139,8032236501,176100530,0,1,14858960,pidigits.jl,1,2,1.12.0-DEV.153
81436813583,9172723389,831055615,8336814448,176618298,0,1,13948728,pidigits.jl,1,2,1.12.0-DEV.153
1561361448036,187215026156,183130499057,4084316397,283301,0,5,13344499105,rb_tree.jl,1,2,1.12.0-DEV.153
1536574370081,165909885753,163337155757,2572563594,284052,0,5,12101150057,rb_tree.jl,1,2,1.12.0-DEV.153
1543342706573,167020828376,164449670603,2571001462,259562,0,5,12101402249,rb_tree.jl,1,2,1.12.0-DEV.153
1536077972355,166018255286,163464858398,2553231631,266847,0,5,12101512705,rb_tree.jl,1,2,1.12.0-DEV.153
1529824456818,161212108345,158615236859,2596703249,260898,0,5,12101368289,rb_tree.jl,1,2,1.12.0-DEV.153
1539096793917,158780704159,156130156468,2650385317,273216,0,5,11661065220,rb_tree.jl,1,2,1.12.0-DEV.153
1572372175230,206206053101,202097634401,4108234475,324108,0,5,11467874889,rb_tree.jl,1,2,1.12.0-DEV.153
1536836556717,163264618636,160730057812,2534400945,260596,0,5,12101390713,rb_tree.jl,1,2,1.12.0-DEV.153
1576259529979,207314023233,203235183086,4078664559,336881,0,5,11472651881,rb_tree.jl,1,2,1.12.0-DEV.153
1539055177827,166157825730,163622014397,2535647045,270990,0,5,12101499625,rb_tree.jl,1,2,1.12.0-DEV.153
