time,gc_time,mark_time,sweep_time,time_to_safepoint,ncollections,nfull_sweeps,file,threads,gcthreads,version
17566675508,8628995893,5261245639,3367577227,635145740,0,5,objarray.jl,16,16,1.12.0-DEV.153
15783596564,7443057450,4792338268,2650558351,771709546,0,5,objarray.jl,16,16,1.12.0-DEV.153
15341299512,6207995380,4405760913,1802018793,786911340,0,5,objarray.jl,16,16,1.12.0-DEV.153
15181781162,6657810064,4691673636,1965998090,659134912,0,5,objarray.jl,16,16,1.12.0-DEV.153
15288902189,7013965685,5026798235,1987042733,476890372,0,5,objarray.jl,16,16,1.12.0-DEV.153
16028717789,8071095162,5263272876,2807676726,462299682,0,4,objarray.jl,16,16,1.12.0-DEV.153
15358479317,6354726497,4529800498,1824706151,698246426,0,5,objarray.jl,16,16,1.12.0-DEV.153
15766014755,7587350925,4919858678,2667339612,602307557,0,5,objarray.jl,16,16,1.12.0-DEV.153
15980229004,8106034979,5294452828,2811448682,569858501,0,4,objarray.jl,16,16,1.12.0-DEV.153
15338620057,6673329117,4721110178,1952012683,584656389,0,5,objarray.jl,16,16,1.12.0-DEV.153
16204486329,8188277937,4956710266,3231429581,210282439,0,4,objarray.jl,16,16,1.12.0-DEV.153
16010887055,8032657342,5264285123,2768236186,479757565,0,4,objarray.jl,16,16,1.12.0-DEV.153
15248629162,6380603410,4509389706,1871012183,610642442,0,5,objarray.jl,16,16,1.12.0-DEV.153
15879155527,7675998493,5002956518,2672890641,615748476,0,5,objarray.jl,16,16,1.12.0-DEV.153
16000079567,8105215043,4901675568,3203406453,201237237,0,4,objarray.jl,16,16,1.12.0-DEV.153
15676858314,7421020429,4795984282,2624872498,742790824,0,5,objarray.jl,16,16,1.12.0-DEV.153
15596549396,7454728326,4793577888,2660905868,567412622,0,5,objarray.jl,16,16,1.12.0-DEV.153
16261654782,8280196468,5475018891,2805026701,473398989,0,4,objarray.jl,16,16,1.12.0-DEV.153
15236637809,6768394514,4811971098,1956211982,602760275,0,5,objarray.jl,16,16,1.12.0-DEV.153
15065586261,6221764034,4423872355,1797754184,601219234,0,5,objarray.jl,16,16,1.12.0-DEV.153
5153139758,2892823005,1240727657,1651458796,4359271,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5324286185,2947862969,1277284574,1670035417,33446209,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5199163011,2699721565,1194329104,1504653424,65520279,0,14,tree_immutable.jl,16,16,1.12.0-DEV.153
5195481457,2843271752,1262340843,1580357808,274703907,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5159819809,2958542353,1276166958,1681730872,8656751,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5290313780,2719175881,1204089710,1514514235,72350437,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5243461330,3004269866,1312674575,1690978659,5840607,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5296322390,2954241811,1302711114,1650809262,8857881,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5190690430,2938980958,1267287565,1671195530,12426666,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5468511933,2898463708,1257072805,1640683247,64200424,0,17,tree_immutable.jl,16,16,1.12.0-DEV.153
5478816134,3000448517,1298619964,1701246025,316242614,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5344903042,2993781846,1350083774,1642972565,4385401,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
4968359773,2624672663,1237252610,1386686893,58937667,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5601110317,2910977981,1213806116,1696433924,33160623,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5220139130,3075072197,1398288852,1675932038,4537965,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5131493569,2942563919,1393830198,1548037176,6355171,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
5086269482,2909775423,1267668024,1641557833,9613782,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
5206334908,2848256278,1205984328,1641365973,24799098,0,15,tree_immutable.jl,16,16,1.12.0-DEV.153
4890063914,2598165406,1235500501,1362033359,11447730,0,13,tree_immutable.jl,16,16,1.12.0-DEV.153
5363629373,2966152252,1290504564,1675092838,291574117,0,16,tree_immutable.jl,16,16,1.12.0-DEV.153
9551914308,5941322020,2578967580,3361489486,11450558,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9252634515,5684863005,2355820344,3328270835,25723609,0,25,tree_mutable.jl,16,16,1.12.0-DEV.153
9387114309,5620797484,2385497848,3234504832,291266116,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9214802132,5771726577,2390813072,3380056642,6565981,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9109597771,5518517538,2159268927,3358491186,41742361,0,21,tree_mutable.jl,16,16,1.12.0-DEV.153
9419860370,5580266640,2276421089,3302898003,80192933,0,23,tree_mutable.jl,16,16,1.12.0-DEV.153
9101347409,5411043420,2109386830,3300945836,33686294,0,19,tree_mutable.jl,16,16,1.12.0-DEV.153
9540150254,5830360001,2429411941,3400002668,23958503,0,25,tree_mutable.jl,16,16,1.12.0-DEV.153
9293255197,5779737335,2474174710,3304860550,6058807,0,23,tree_mutable.jl,16,16,1.12.0-DEV.153
9360305753,5471287056,2112916859,3357502306,104213974,0,20,tree_mutable.jl,16,16,1.12.0-DEV.153
9216688520,5624449598,2298691978,3325032087,9773962,0,22,tree_mutable.jl,16,16,1.12.0-DEV.153
9300504305,5791078099,2438452453,3351746069,9520079,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9289549330,5611364023,2241189035,3369432849,260286839,0,22,tree_mutable.jl,16,16,1.12.0-DEV.153
9276696294,5696086519,2361680034,3333646969,7140129,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9144338264,5568288597,2206924275,3360640625,9484317,0,20,tree_mutable.jl,16,16,1.12.0-DEV.153
9217170000,5624414725,2298537694,3325077419,11573263,0,23,tree_mutable.jl,16,16,1.12.0-DEV.153
9483503687,5660555118,2311535262,3348145390,36944607,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9468073008,5853510486,2471535324,3381013735,30381025,0,26,tree_mutable.jl,16,16,1.12.0-DEV.153
9452236465,5896559940,2547068174,3348712609,11323913,0,24,tree_mutable.jl,16,16,1.12.0-DEV.153
9330925478,5889788170,2542159850,3346854422,6589910,0,25,tree_mutable.jl,16,16,1.12.0-DEV.153
